unit_id,row,col,area_ha,aml_count,severity_sum,severity_mean,unfunded_cost_sum,dist_water_m,water_km,slope_deg_mean,risk_index,water_priority,restoration_cost_proxy,benefit_proxy,priority_score,candidate
44,5,14,400.0,0.0,0.0,0.0,0.0,342.11219489659123,5.2497444004239675,13.410440295566747,0.348670699343709,4.438996654022419,400.0,2.5681690263549184,1.2840845131774592,1
45,5,15,400.0,0.0,0.0,0.0,0.0,176.1183287827105,4.424946594737874,15.246830563796197,0.4041637316213737,4.548919473038949,400.0,2.6786234681408483,1.339311734070424,1
46,5,16,284.362400492272,0.0,0.0,0.0,0.0,187.55899529095203,2.30948301592129,11.8293848671343,0.3581759657621665,2.7434959282073414,284.362400492272,1.729923929865837,1.0111157063108536,1
47,5,17,50.020840474227406,0.0,0.0,0.0,0.0,428.54331976224194,0.0896252131069424,14.541312586693536,0.3483966932847595,0.7098443744881138,50.020840474227406,0.7033188805288164,0.6251433865042038,1
48,5,18,66.51410155750656,0.0,0.0,0.0,0.0,348.06043249797415,0.0,14.806447293244156,0.3654292516384413,0.7060562061848192,66.51410155750656,0.7184573547308509,0.6160219829001569,1
49,6,7,287.4267652843103,0.0,0.0,0.0,0.0,401.93442430474767,5.917220178313485,12.595856543011994,0.3279664656670735,4.6277905736268865,287.4267652843103,2.6418617524805166,1.5372469539430158,1
50,6,8,400.0,0.0,0.0,0.0,0.0,106.38276752092384,4.364917329187717,12.98458081434308,0.3904401486463711,4.823492251197539,400.0,2.8021862742451407,1.4010931371225703,1
51,6,9,400.0,0.0,0.0,0.0,0.0,295.7347833923435,5.191851469325278,11.9330509257944,0.3382497662155073,4.606642875247517,400.0,2.641571203839266,1.320785601919633,1
52,6,10,400.0,0.0,0.0,0.0,0.0,155.1406635784601,5.010340645355969,14.444466610859635,0.3983703748276713,5.146622957208811,400.0,2.971681853432077,1.4858409267160384,1
53,6,11,400.0,0.0,0.0,0.0,0.0,197.8749144614518,3.929630115009124,14.335827342599456,0.3880286874255478,4.0446258260329575,400.0,2.4103416004420266,1.2051708002210133,1
54,6,12,400.0,0.0,0.0,0.0,0.0,230.12719909430925,6.807675180914645,14.225345172554428,0.3801090646186692,6.202671264320336,400.0,3.481444696778837,1.7407223483894183,1
55,6,13,400.0,0.0,0.0,0.0,0.0,149.29281272628583,8.834872605623607,14.113617133235667,0.395404610647159,8.470941723249227,400.0,4.630875472271772,2.315437736135886,1
56,6,14,400.0,0.0,0.0,0.0,0.0,457.78527829129666,2.837869987390944,14.03075468496621,0.3371889798889496,2.428156296433529,400.0,1.551267128105714,0.775633564052857,1
57,6,15,400.0,0.0,0.0,0.0,0.0,390.4613998227602,6.62088141144472,15.19169377818332,0.3630166913632923,5.157389981468275,400.0,2.94171168209743,1.470855841048715,1
58,6,16,400.0,0.0,0.0,0.0,0.0,385.71129213772144,5.4659387939446376,14.1915934035304,0.3510619924255985,4.39662376960973,400.0,2.5493738772304635,1.2746869386152315,1
59,6,17,374.2119149067131,0.0,0.0,0.0,0.0,464.44748988547207,2.7034447863235163,13.67652329767034,0.3316190827646641,2.327549319765506,374.2119149067131,1.495393742647417,0.7726017716106066,1
60,6,18,397.8708963810227,0.0,0.0,0.0,0.0,254.3351619749039,6.4350780693281875,15.189519152395864,0.3876607729959382,5.765396440436431,397.8708963810227,3.270358993214154,1.6395429426228356,1
61,6,19,317.4847276302841,0.0,0.0,0.0,0.0,101.45938259389548,3.0852731951857866,14.245409670141008,0.4076364002331515,3.6911173648898927,317.4847276302841,2.253195082678098,1.2561633695646588,1
62,6,20,288.22046884565486,0.0,0.0,0.0,0.0,73.19329206234315,3.635028389029293,14.232200748211628,0.4139436892758755,4.3078934755399425,288.22046884565486,2.567890427045847,1.4924812866161583,1
63,6,21,155.97430570634984,0.0,0.0,0.0,0.0,268.6295369219812,1.1026406781106108,14.3042619587744,0.3736144249978065,1.6073140334513598,155.97430570634984,1.1772714417234864,0.8469970138118494,1
64,7,6,136.58945012417755,0.0,0.0,0.0,0.0,469.9008313778465,1.1707770720283244,11.649896639789272,0.304906888922656,1.3568751467207003,136.58945012417755,0.9833444622830064,0.7330330196059133,1
65,7,7,400.0,0.0,0.0,0.0,0.0,101.67913478166068,5.1664696051001755,13.103291828047348,0.3930145067585432,5.570291308897831,400.0,3.1781601612074586,1.5890800806037293,1
66,7,8,400.0,0.0,0.0,0.0,0.0,71.14232826403158,6.5865736382094555,14.608026403781269,0.4192158835120668,7.065598529870297,400.0,3.9520151484472152,1.9760075742236076,1
67,7,9,400.0,0.0,0.0,0.0,0.0,192.6646874523339,6.25686282051584,14.896261607791171,0.396250759260229,5.985159146845715,400.0,3.3888303326830864,1.6944151663415432,1
68,7,10,400.0,0.0,0.0,0.0,0.0,355.7030180385634,6.0125268257314035,13.377064307182156,0.3458478974772637,4.913542056786156,400.0,2.8026189258703416,1.4013094629351708,1
69,7,11,400.0,0.0,0.0,0.0,0.0,183.06147241672457,8.039274661207317,14.485252045002984,0.3929963168399489,7.527157362038204,400.0,4.1565749978590505,2.0782874989295252,1
70,7,12,400.0,0.0,0.0,0.0,0.0,36.793799605210445,4.553456043013306,14.0740218102748,0.4205389128212586,5.352836700613073,400.0,3.0969572631277953,1.5484786315638976,1
71,7,13,400.0,0.0,0.0,0.0,0.0,124.902594046833,3.5930174054593516,13.944298611049764,0.3985607770548861,4.053718470916489,400.0,2.4254200125131304,1.2127100062565652,1
72,7,14,400.0,0.0,0.0,0.0,0.0,160.79323531415753,4.74347336450712,14.809321654247649,0.4018189006244055,4.890384390083328,400.0,2.84701109566607,1.423505547833035,1
73,7,15,400.0,0.0,0.0,0.0,0.0,25.69126076791651,5.914362967820903,14.5507108581345,0.4293112513027263,6.738986730280561,400.0,3.798804616443007,1.8994023082215037,1
74,7,16,400.0,0.0,0.0,0.0,0.0,34.39654692779175,6.869688787305149,13.290530937321392,0.4111207224366168,7.60360114958829,400.0,4.2129212972307615,2.1064606486153807,1
75,7,17,400.0,0.0,0.0,0.0,0.0,267.4246355190074,3.567886335434946,13.056156584742473,0.3579202739126487,3.496022709901453,400.0,2.105931628863375,1.0529658144316876,1
76,7,18,400.0,0.0,0.0,0.0,0.0,91.06252661141338,5.146540255004822,15.35121527350979,0.4241060413475227,5.6115492314468485,400.0,3.229880657070947,1.6149403285354735,1
77,7,19,400.0,0.0,0.0,0.0,0.0,542.0962183590644,3.690869558823887,13.830865874702548,0.3218497650226353,2.727871825014605,400.0,1.6857856775299376,0.8428928387649688,0
78,7,20,400.0,0.0,0.0,0.0,0.0,459.92892763805264,5.687732998384552,13.48758676038151,0.3299200102749501,4.22215653537125,400.0,2.440998277960575,1.2204991389802875,1
79,7,21,400.0,0.0,0.0,0.0,0.0,214.55462285662009,3.403748924255998,13.35287489493688,0.3720942793036239,3.5533882450805483,400.0,2.1487884018438983,1.0743942009219491,1
80,7,22,237.1182586316814,0.0,0.0,0.0,0.0,47.02508962630654,2.511193215549601,13.094694654534504,0.4055908433883961,3.34990114863833,237.1182586316814,2.080541417707561,1.3062199298295885,1
81,7,23,47.5097081731286,0.0,0.0,0.0,0.0,50.97329341078488,0.3299278131541898,12.120605841661112,0.3922226087352933,1.26383578648074,47.5097081731286,1.0241405019756633,0.9154129917373348,1
82,8,5,91.6543086357822,0.0,0.0,0.0,0.0,6.2618114699053065,3.78228368696607,11.517847382569617,0.3953954499878964,4.752431490079809,91.6543086357822,2.771611195027801,2.254926802304106,1
83,8,6,345.36641922719934,0.0,0.0,0.0,0.0,381.8033163299042,5.209311625178845,11.189900963352276,0.3134290747104509,4.238658060839233,345.36641922719934,2.4327581051300675,1.3055367359599412,1
